model_id,equation,regressor,estimate,std_error,t_value,p_value
VAR-p1,GreenEquity_relative,EUA_ret.l1,-0.032128559067014395,0.049791246303002426,-0.6452652113083788,0.5198669178615164
VAR-p1,GreenEquity_relative,TTF_ret.l1,-0.006009606344176107,0.028818009492480083,-0.20853648291511195,0.8351291279358417
VAR-p1,GreenEquity_relative,Brent_ret.l1,-0.019557396396081513,0.05184483143237581,-0.3772294335953498,0.7066043553928785
VAR-p1,GreenEquity_relative,Power_ret.l1,0.016911854169794745,0.09726363154015161,0.17387644181076384,0.8622269412705352
VAR-p1,GreenEquity_relative,CPI_yoy_change.l1,-0.019328952055384072,1.4260815348888822,-0.013553889860084437,0.9892062021212906
VAR-p1,GreenEquity_relative,IP_growth.l1,0.11008806649933246,0.20742732510767126,0.5307307821772662,0.5964904521870471
VAR-p1,GreenEquity_relative,Bund2Y_change.l1,-1.5742756185106808,2.8495234119356634,-0.5524697961478706,0.5815537988509081
VAR-p1,GreenEquity_relative,CISS_change.l1,-0.038210298850913996,0.06447754261216886,-0.5926140684478034,0.5544457006966885
VAR-p1,GreenEquity_relative,const,0.002914758640476178,0.005237386503511203,0.5565292228331995,0.5787843225146665
VAR-p1,GreenBond_relative,EUA_ret.l1,-2.0938470863891799e-4,0.00231336020483304,-0.09051107052048114,0.9280172666450568
VAR-p1,GreenBond_relative,TTF_ret.l1,-6.203098182098396e-4,0.0013389188118873056,-0.4632915847492402,0.6439126094501381
VAR-p1,GreenBond_relative,Brent_ret.l1,-0.0017834844947658183,0.0024087721992751797,-0.7404122711572659,0.4603549667055723
VAR-p1,GreenBond_relative,Power_ret.l1,0.0010920035453548884,0.004518983381401371,0.24164805514647628,0.8094250591847023
VAR-p1,GreenBond_relative,CPI_yoy_change.l1,-0.07875116447910874,0.06625743512389701,-1.1885634318903122,0.2367294318989993
VAR-p1,GreenBond_relative,IP_growth.l1,0.004499814315693662,0.009637318904992273,0.46691557683773355,0.6413242626799605
VAR-p1,GreenBond_relative,Bund2Y_change.l1,-0.22975295938791093,0.1323922286218116,-1.735396116370377,0.08498690012934461
VAR-p1,GreenBond_relative,CISS_change.l1,-0.0013253526486798795,0.002995702904818103,-0.4424179201977153,0.6589054487550318
VAR-p1,GreenBond_relative,const,2.8703957040235653e-4,2.433351726289663e-4,1.1796057565423557,0.2402627553682295
VAR-p2,GreenEquity_relative,EUA_ret.l1,-0.04906942027600327,0.0522974127490435,-0.9382762491802376,0.34995629912721704
VAR-p2,GreenEquity_relative,TTF_ret.l1,-0.014590784800194627,0.030557635084857853,-0.4774840971716676,0.6338717669935447
VAR-p2,GreenEquity_relative,Brent_ret.l1,0.00720752123838836,0.053859408735146566,0.13382102417483485,0.8937646021570059
VAR-p2,GreenEquity_relative,Power_ret.l1,0.02556707388710187,0.11180723406277275,0.22867101669599985,0.8195074879367336
VAR-p2,GreenEquity_relative,CPI_yoy_change.l1,-0.45426748690598834,1.6614208995017965,-0.273421074119272,0.7849918872541121
VAR-p2,GreenEquity_relative,IP_growth.l1,0.09042588152167191,0.2630201997242923,0.343798239133191,0.7315898355764008
VAR-p2,GreenEquity_relative,Bund2Y_change.l1,-1.6838472708372452,2.943532026367715,-0.5720499236133991,0.5683407220512899
VAR-p2,GreenEquity_relative,CISS_change.l1,-0.04806728475813608,0.07211909976998201,-0.6664986794267089,0.5063508610746069
VAR-p2,GreenEquity_relative,const,0.003591604222266294,0.0053562639874577805,0.6705427945068407,0.5037792260412735
VAR-p2,GreenBond_relative,EUA_ret.l1,-0.0012897366148005105,0.0024406196698417496,-0.5284463739834308,0.5981495541047004
VAR-p2,GreenBond_relative,TTF_ret.l1,-2.0446077233550586e-4,0.0014260660581782694,-0.14337398408927468,0.8862313700589373
VAR-p2,GreenBond_relative,Brent_ret.l1,-0.002601248675835554,0.002513515018339974,-1.0349047675686947,0.3027604184390611
VAR-p2,GreenBond_relative,Power_ret.l1,3.5013994032406665e-5,0.00521782857583513,0.00671045311733005,0.9946568337882267
VAR-p2,GreenBond_relative,CPI_yoy_change.l1,-0.05155841059251568,0.07753531798347749,-0.6649667781526685,0.50732681243266875
VAR-p2,GreenBond_relative,IP_growth.l1,0.00600910566083793,0.01227464685668516,0.4895542601753289,0.6253284392009244
VAR-p2,GreenBond_relative,Bund2Y_change.l1,-0.19931883265235836,0.13736897840120363,-1.4509741207379607,0.1493534763025367
VAR-p2,GreenBond_relative,CISS_change.l1,-0.0023517510884286433,0.0033656596802318288,-0.6987489264709774,0.48603884858792956
VAR-p2,GreenBond_relative,const,1.7671335932856606e-4,2.4996653863901817e-4,0.7069480590910668,0.48094686886840043
