model_id,joint_log_predictive_likelihood,green_assets_log_predictive_likelihood
BVAR-HOM-p1-forecast,220.18889721391668,52.252499296914536
BVAR-HOM-p1-forecast__variable__EUA_ret,11.850619847493778,NA
BVAR-HOM-p1-forecast__variable__TTF_ret,2.9688861543734246,NA
BVAR-HOM-p1-forecast__variable__Brent_ret,6.053456185267859,NA
BVAR-HOM-p1-forecast__variable__Power_ret,19.649427375033415,NA
BVAR-HOM-p1-forecast__variable__CPI_yoy_change,40.27199286914335,NA
BVAR-HOM-p1-forecast__variable__IP_growth,30.193294545016492,NA
BVAR-HOM-p1-forecast__variable__Bund2Y_change,41.058626815707214,NA
BVAR-HOM-p1-forecast__variable__CISS_change,14.19700480915112,NA
BVAR-HOM-p1-forecast__variable__GreenEquity_relative,11.388838825260285,NA
BVAR-HOM-p1-forecast__variable__GreenBond_relative,40.86366047165425,NA
BVAR-HOM-p2-forecast,217.99315334831658,52.37653519103803
BVAR-HOM-p2-forecast__variable__EUA_ret,11.485025175978809,NA
BVAR-HOM-p2-forecast__variable__TTF_ret,2.9413276486254114,NA
BVAR-HOM-p2-forecast__variable__Brent_ret,6.16498136330375,NA
BVAR-HOM-p2-forecast__variable__Power_ret,19.298353485007134,NA
BVAR-HOM-p2-forecast__variable__CPI_yoy_change,39.96186013695979,NA
BVAR-HOM-p2-forecast__variable__IP_growth,29.663268722594648,NA
BVAR-HOM-p2-forecast__variable__Bund2Y_change,40.805737199588386,NA
BVAR-HOM-p2-forecast__variable__CISS_change,13.64563500154647,NA
BVAR-HOM-p2-forecast__variable__GreenEquity_relative,11.749428909036638,NA
BVAR-HOM-p2-forecast__variable__GreenBond_relative,40.62710628200139,NA
BVAR-SV-p1-forecast,302.9184408647801,78.4439491357211
BVAR-SV-p1-forecast__variable__EUA_ret,14.506265464873906,NA
BVAR-SV-p1-forecast__variable__TTF_ret,4.160532904769855,NA
BVAR-SV-p1-forecast__variable__Brent_ret,9.671642925838096,NA
BVAR-SV-p1-forecast__variable__Power_ret,21.13627076645044,NA
BVAR-SV-p1-forecast__variable__CPI_yoy_change,54.91318237238753,NA
BVAR-SV-p1-forecast__variable__IP_growth,39.579493803734174,NA
BVAR-SV-p1-forecast__variable__Bund2Y_change,60.386350181762275,NA
BVAR-SV-p1-forecast__variable__CISS_change,20.404326045360783,NA
BVAR-SV-p1-forecast__variable__GreenEquity_relative,11.789912135216474,NA
BVAR-SV-p1-forecast__variable__GreenBond_relative,66.65403700050463,NA
BVAR-SV-p2-forecast,301.2823581687019,77.98962302548442
BVAR-SV-p2-forecast__variable__EUA_ret,14.573296664032748,NA
BVAR-SV-p2-forecast__variable__TTF_ret,4.185615693123673,NA
BVAR-SV-p2-forecast__variable__Brent_ret,9.656085503444972,NA
BVAR-SV-p2-forecast__variable__Power_ret,21.127647509754773,NA
BVAR-SV-p2-forecast__variable__CPI_yoy_change,54.95752825925906,NA
BVAR-SV-p2-forecast__variable__IP_growth,39.36575366042063,NA
BVAR-SV-p2-forecast__variable__Bund2Y_change,60.35197058157395,NA
BVAR-SV-p2-forecast__variable__CISS_change,20.199933294951887,NA
BVAR-SV-p2-forecast__variable__GreenEquity_relative,11.641293122322704,NA
BVAR-SV-p2-forecast__variable__GreenBond_relative,66.34832990316173,NA
