model_id,chain,parameter,chain_effective_sample_size
BVAR-HOM-final-chain1,1,own_lag1__EUA_ret,10112.18040051398
BVAR-HOM-final-chain1,1,own_lag1__TTF_ret,9540.416904900627
BVAR-HOM-final-chain1,1,own_lag1__Brent_ret,8469.756350808566
BVAR-HOM-final-chain1,1,own_lag1__Power_ret,3894.0703849984693
BVAR-HOM-final-chain1,1,own_lag1__CPI_yoy_change,5995.11828135591
BVAR-HOM-final-chain1,1,own_lag1__IP_growth,7885.359163744328
BVAR-HOM-final-chain1,1,own_lag1__Bund2Y_change,9999.999999999973
BVAR-HOM-final-chain1,1,own_lag1__CISS_change,6712.595464297476
BVAR-HOM-final-chain1,1,own_lag1__GreenEquity_relative,9654.272648076058
BVAR-HOM-final-chain1,1,own_lag1__GreenBond_relative,8200.199003037818
BVAR-HOM-final-chain1,1,lag1__EUA_ret__to__GreenEquity_relative,9999.999999999985
BVAR-HOM-final-chain1,1,lag1__TTF_ret__to__GreenEquity_relative,10320.48958234149
BVAR-HOM-final-chain1,1,lag1__Brent_ret__to__GreenEquity_relative,9629.420720644948
BVAR-HOM-final-chain1,1,lag1__Power_ret__to__GreenEquity_relative,10000.00000000002
BVAR-HOM-final-chain1,1,lag1__CPI_yoy_change__to__GreenEquity_relative,10000.000000000013
BVAR-HOM-final-chain1,1,lag1__IP_growth__to__GreenEquity_relative,10086.44866432408
BVAR-HOM-final-chain1,1,lag1__Bund2Y_change__to__GreenEquity_relative,10000.000000000004
BVAR-HOM-final-chain1,1,lag1__CISS_change__to__GreenEquity_relative,9999.999999999965
BVAR-HOM-final-chain1,1,intercept__GreenEquity_relative,10000.000000000005
BVAR-HOM-final-chain1,1,lag1__EUA_ret__to__GreenBond_relative,9736.516503786857
BVAR-HOM-final-chain1,1,lag1__TTF_ret__to__GreenBond_relative,9999.99999999999
BVAR-HOM-final-chain1,1,lag1__Brent_ret__to__GreenBond_relative,9696.020535699083
BVAR-HOM-final-chain1,1,lag1__Power_ret__to__GreenBond_relative,9999.999999999984
BVAR-HOM-final-chain1,1,lag1__CPI_yoy_change__to__GreenBond_relative,10297.461293789951
BVAR-HOM-final-chain1,1,lag1__IP_growth__to__GreenBond_relative,10118.527185926641
BVAR-HOM-final-chain1,1,lag1__Bund2Y_change__to__GreenBond_relative,10000.000000000013
BVAR-HOM-final-chain1,1,lag1__CISS_change__to__GreenBond_relative,9999.999999999985
