variable,sv_persistence_median,sv_persistence_q05,sv_persistence_q95
Brent_ret,0.8009701617933562,0.609989941700443,0.93156656812541
Bund2Y_change,0.9528179549935072,0.888628787528373,0.989426723092182
CISS_change,0.8796539094019149,0.772845328518133,0.959943762663911
CPI_yoy_change,0.9341510194168102,0.823811192885662,0.98547125819867
EUA_ret,0.8172889984395825,0.622889826975305,0.942003415732179
GreenBond_relative,0.9588838658133868,0.896174890035011,0.992014952207271
GreenEquity_relative,0.8987348991217259,0.714837079648107,0.984269578851882
IP_growth,0.864794128711714,0.743931945272793,0.950613067590077
Power_ret,0.8727549087411486,0.752583336545091,0.957421336233624
TTF_ret,0.9593527188182612,0.891788584377824,0.991942008978366
