variable,unit,observations,mean,median,standard_deviation,minimum,maximum,p01,p05,p25,p75,p95,p99,skewness,excess_kurtosis,jarque_bera_statistic,jarque_bera_p_value,note
EUA_ret,"Log return, decimal form",145,0.01898432293755758,0.0214773356105568,0.11311070778052881,-0.3101549283038394,0.357766051521067,-0.30102855052482713,-0.18779330492391408,-0.0383161024039946,0.0879005482136623,0.19116274857265933,0.26346295340700193,-0.3628898133301151,1.0208922920108616,8.51136916759308,0.014183377710702931,Log returns are stored in decimal form where applicable.
TTF_ret,"Log return, decimal form",145,0.005350814761927455,0.0074815131436705,0.19026216212399272,-0.6514525981468875,0.6638984339451812,-0.41892287624453256,-0.2728740360506044,-0.0986907915926891,0.1045991017340224,0.3228271296278538,0.5528725747306898,0.20370261933011588,1.715458053572684,16.75527903465185,0.00022995210328234208,Log returns are stored in decimal form where applicable.
Brent_ret,"Log return, decimal form",145,0.00038882504650702916,0.012323128173624,0.12056625844847314,-0.7982438091599007,0.4903356742252684,-0.22954628023267784,-0.16659019428579777,-0.0580802466763827,0.0588516259067457,0.15792246232197718,0.29297768395524637,-1.4912241119171734,14.197830329071714,1181.9378369133244,2.215438700511247e-257,Log returns are stored in decimal form where applicable.
Power_ret,"Log return, decimal form",145,0.005860910852438545,0.0045493396631539,0.05688079638597781,-0.2791247722440557,0.1792624535833837,-0.17242486265638599,-0.07274085462960611,-0.0216591625114146,0.0305274010677187,0.09304851516430186,0.14805356820542584,-0.7550340733709373,5.204375606091542,163.6619405733727,2.892418666975334e-36,Log returns are stored in decimal form where applicable.
IP_growth,"Log growth, decimal form",145,0.0006931235975888327,0.0010085729548849,0.025753406362559444,-0.2042244496781755,0.1235163743644847,-0.07667747928977434,-0.018000557820160818,-0.0042780813910781,0.008080852053939,0.021721162664063657,0.06912076548610269,-3.112719981734122,33.79258513578501,6649.144975240552,0.0,Log returns are stored in decimal form where applicable.
Bund2Y_change_bps,Basis points,145,1.7117241379310342,0.1999999999999918,18.562538826926417,-45.50000000000002,92.0,-39.711999999999996,-25.180000000000202,-6.799999999998994,7.000000000001003,43.39999999999978,62.24800000000002,1.4312849475258187,5.523795135671964,217.8151669907069,5.0354402906774844e-48,Log returns are stored in decimal form where applicable.
CPI_yoy_level,Percentage points,146,0.025438356164383558,0.0175,0.027345042443643892,-0.005,0.115,-0.00255,0.00025,0.0069999999999999,0.027,0.0975,0.11010000000000002,1.7584499529078492,2.455082238848806,106.75358746101998,6.587991363346598e-24,Log returns are stored in decimal form where applicable.
CPI_yoy_change,Percentage points,145,0.00017931034482758417,0.0,0.0039750418682582426,-0.016,0.016,-0.012240000000000001,-0.005,-0.0019999999999999,0.002,0.0069999999999998804,0.009120000000000048,-0.23193438271381148,3.8333637299453853,82.26477064183604,1.3690900922934691e-18,Log returns are stored in decimal form where applicable.
CISS_level,Index level,146,0.10798698630136985,0.0572,0.13315676178394403,0.0013,0.696,0.0013,0.002875,0.014475,0.1431,0.377425,0.6339950000000008,2.093706952677506,5.006586776643157,244.40452052436723,8.476814744552348e-54,Log returns are stored in decimal form where applicable.
CISS_change,Index change,145,8.275862068970731e-06,-0.0034999999999999,0.09255429375315653,-0.2859999999999999,0.4964999999999999,-0.240944,-0.11455999999999993,-0.0333,0.0181999999999999,0.1298199999999999,0.3458440000000001,1.5154212147583426,8.314769911415699,440.02605043586794,2.815510822188703e-96,Log returns are stored in decimal form where applicable.
GE_return,"Log return, decimal form",145,0.007997919367327029,0.0073350605383026,0.06954086801483689,-0.1701888463451162,0.2048396266377379,-0.1398279215201142,-0.11641423306685053,-0.0382964738195834,0.049507759701374,0.12354935807270889,0.15660918217417596,0.03221608393644803,0.029145075924773334,0.02557687006346348,0.9872929895363618,Log returns are stored in decimal form where applicable.
Stoxx600_return,"Log return, decimal form",145,0.006358916674314812,0.0139068466956189,0.03926425749596257,-0.1568174055556275,0.129630457340756,-0.08655484179537541,-0.05672800917639776,-0.0135907396586549,0.0301042649056197,0.06391437647128706,0.076317530820298,-0.5920840438920035,1.8124532463740683,25.95234589307015,2.3148331498206976e-06,Log returns are stored in decimal form where applicable.
GreenEquity_relative,"Relative log return, decimal form",145,0.0016390026930122067,0.0063537294452595,0.05875856031771752,-0.1387098558751409,0.2253493254113481,-0.12748930491220836,-0.10224392482031862,-0.0334535220583855,0.0327911649693932,0.09072851179262971,0.165104503704467,0.324018783976687,1.4704729279855169,13.976559873503767,0.0009226321532520758,Log returns are stored in decimal form where applicable.
GreenEquity_relative_check,"Relative log return, decimal form",145,0.001639002693012206,0.0063537294452597,0.058758560317717534,-0.1387098558751409,0.2253493254113475,-0.12748930491220803,-0.10224392482031788,-0.0334535220583853,0.0327911649693939,0.09072851179263049,0.16510450370446736,0.32401878397668843,1.4704729279855018,13.976559873503524,0.0009226321532521881,Log returns are stored in decimal form where applicable.
GreenBond_return,"Log return, decimal form",145,0.001714313992562691,0.0021599799220917,0.013882030059750307,-0.067524955349433,0.0456393238662373,-0.039694647544706356,-0.02023169914676826,-0.0034132137332942,0.0095062066384912,0.0221530888797845,0.034272668449480716,-1.0485931448737567,5.07700439558621,168.8737601451785,2.13564427261412e-37,Log returns are stored in decimal form where applicable.
CorpBond_return,"Log return, decimal form",145,0.0013433090811379154,0.0021028885540328,0.013171159685883827,-0.0709568525860548,0.045933770967208,-0.03980875456630535,-0.01950473965158446,-0.0030746305912598,0.0075610135506396,0.016451955816118604,0.03270771967212908,-1.331428387492318,7.568794216018478,361.20646685746107,3.6729270952053043e-79,Log returns are stored in decimal form where applicable.
GreenBond_relative,"Relative log return, decimal form",145,0.0003710049114247705,4.687771163514043e-05,0.002961108382721353,-0.0080943988830952,0.0132349337233046,-0.007053777343959976,-0.00419540825767278,-0.0007776801125931,0.0011855678366607,0.005334678072256316,0.010863967758035232,0.9437102016630807,4.5965040925279865,137.96156236831322,1.1016087436899698e-30,Log returns are stored in decimal form where applicable.
GreenBond_relative_check,"Relative log return, decimal form",145,0.0003710049114247683,4.687771163514043e-05,0.0029611083827213976,-0.0080943988830956,0.0132349337233043,-0.007053777343960568,-0.00419540825767274,-0.0007776801125937,0.0011855678366604,0.0053346780722562555,0.010863967758035544,0.9437102016629508,4.596504092527946,137.96156236830547,1.1016087436942425e-30,Log returns are stored in decimal form where applicable.
