dataset,method,relationship,variable_1,variable_2,correlation,abs_correlation
data_model_diff,pearson,TTF - Power,TTF_ret,Power_ret,0.2716458038487437,0.2716458038487437
data_model_diff,pearson,TTF - Brent,TTF_ret,Brent_ret,0.164125323977503,0.164125323977503
data_model_diff,pearson,Power - CPI,Power_ret,CPI_yoy_change,0.2879659399383766,0.2879659399383766
data_model_diff,pearson,CPI - Bund 2Y,CPI_yoy_change,Bund2Y_change_bps,0.1988549363456898,0.1988549363456898
data_model_diff,pearson,Green equity - green bond,GreenEquity_relative,GreenBond_relative,-0.0665937686561339,0.0665937686561339
data_model_diff,spearman,TTF - Power,TTF_ret,Power_ret,0.2608290033065659,0.2608290033065659
data_model_diff,spearman,TTF - Brent,TTF_ret,Brent_ret,0.1302432687765706,0.1302432687765706
data_model_diff,spearman,Power - CPI,Power_ret,CPI_yoy_change,0.2772987178422206,0.2772987178422206
data_model_diff,spearman,CPI - Bund 2Y,CPI_yoy_change,Bund2Y_change_bps,0.10978349240174894,0.10978349240174894
data_model_diff,spearman,Green equity - green bond,GreenEquity_relative,GreenBond_relative,-0.13404975594394583,0.13404975594394583
data_model_levels,pearson,TTF - Power,TTF_ret,Power_ret,0.2716458038487437,0.2716458038487437
data_model_levels,pearson,TTF - Brent,TTF_ret,Brent_ret,0.164125323977503,0.164125323977503
data_model_levels,pearson,Power - CPI,Power_ret,CPI_yoy_level,0.33167624354937386,0.33167624354937386
data_model_levels,pearson,CPI - Bund 2Y,CPI_yoy_level,Bund2Y_change_bps,0.3814830093781031,0.3814830093781031
data_model_levels,pearson,Green equity - green bond,GreenEquity_relative,GreenBond_relative,-0.0665937686561339,0.0665937686561339
data_model_levels,spearman,TTF - Power,TTF_ret,Power_ret,0.2608290033065659,0.2608290033065659
data_model_levels,spearman,TTF - Brent,TTF_ret,Brent_ret,0.1302432687765706,0.1302432687765706
data_model_levels,spearman,Power - CPI,Power_ret,CPI_yoy_level,0.2430748284399493,0.2430748284399493
data_model_levels,spearman,CPI - Bund 2Y,CPI_yoy_level,Bund2Y_change_bps,0.22041340770979337,0.22041340770979337
data_model_levels,spearman,Green equity - green bond,GreenEquity_relative,GreenBond_relative,-0.13404975594394583,0.13404975594394583
