dataset,variable,adf_result,pp_result,kpss_result,joint_evaluation,recommendation
data_model_diff,EUA_ret,Reject unit root; stationary at 5%,Reject unit root; stationary at 5%,Fail to reject stationarity at 5%,CLEARLY_STATIONARY,Retain in the candidate set.
data_model_diff,TTF_ret,Reject unit root; stationary at 5%,Reject unit root; stationary at 5%,Fail to reject stationarity at 5%,CLEARLY_STATIONARY,Retain in the candidate set.
data_model_diff,Brent_ret,Reject unit root; stationary at 5%,Reject unit root; stationary at 5%,Fail to reject stationarity at 5%,CLEARLY_STATIONARY,Retain in the candidate set.
data_model_diff,Power_ret,Reject unit root; stationary at 5%,Reject unit root; stationary at 5%,Fail to reject stationarity at 5%,CLEARLY_STATIONARY,Retain in the candidate set.
data_model_diff,CPI_yoy_change,Reject unit root; stationary at 5%,Reject unit root; stationary at 5%,Fail to reject stationarity at 5%,CLEARLY_STATIONARY,Retain in the candidate set.
data_model_diff,IP_growth,Reject unit root; stationary at 5%,Reject unit root; stationary at 5%,Fail to reject stationarity at 5%,CLEARLY_STATIONARY,Retain in the candidate set.
data_model_diff,Bund2Y_change_bps,Reject unit root; stationary at 5%,Reject unit root; stationary at 5%,Fail to reject stationarity at 5%,CLEARLY_STATIONARY,Retain in the candidate set.
data_model_diff,CISS_change,Reject unit root; stationary at 5%,Reject unit root; stationary at 5%,Fail to reject stationarity at 5%,CLEARLY_STATIONARY,Retain in the candidate set.
data_model_diff,GreenEquity_relative,Reject unit root; stationary at 5%,Reject unit root; stationary at 5%,Fail to reject stationarity at 5%,CLEARLY_STATIONARY,Retain in the candidate set.
data_model_diff,GreenBond_relative,Reject unit root; stationary at 5%,Reject unit root; stationary at 5%,Fail to reject stationarity at 5%,CLEARLY_STATIONARY,Retain in the candidate set.
level_change_checks,CPI_yoy_level,Fail to reject unit root at 5%,Fail to reject unit root at 5%,Reject stationarity at 5%,CLEARLY_NONSTATIONARY,Treat as nonstationary evidence and use only with an explicit robustness rationale.
level_change_checks,CPI_yoy_change,Reject unit root; stationary at 5%,Reject unit root; stationary at 5%,Fail to reject stationarity at 5%,CLEARLY_STATIONARY,Retain in the candidate set.
level_change_checks,CISS_level,Reject unit root; stationary at 5%,Reject unit root; stationary at 5%,Fail to reject stationarity at 5%,CLEARLY_STATIONARY,Retain in the candidate set.
level_change_checks,CISS_change,Reject unit root; stationary at 5%,Reject unit root; stationary at 5%,Fail to reject stationarity at 5%,CLEARLY_STATIONARY,Retain in the candidate set.
